#plate,mjd,fiberid,run2d,specobj_id,ra,dec,sn_median_r,z,zerr,zwarning,class,subclass
266,51630,529,'26','299634812979800064','09:46:20.22','+01:04:52.04',8.23,0.576849,0.000249,0,'GALAXY',''
276,51909,412,'26','310861656013957120','10:51:51.84','+01:03:10.74',9.36,0.265373,0.0001,0,'GALAXY',''
277,51908,519,'26','312016967840065536','11:03:56.15','+00:22:36.35',14.5,0.274535,7.2e-05,0,'GALAXY',''
279,51984,497,'26','314262721614866432','11:17:17.54','+00:06:33.58',12.54,0.451119,0.00018,0,'GALAXY',''
284,51943,502,'26','319893594850748416','11:54:04.56','-00:10:09.86',17.81,0.253537,6.4e-05,0,'GALAXY',''
287,52023,25,'26','323140179151841280','12:17:58.73','-00:29:46.22',18.36,0.418928,0.000102,0,'GALAXY',''
291,51928,605,'26','327803206371403776','12:46:02.52','+01:13:18.79',14.77,0.386207,0.000163,0,'GALAXY',''
403,51871,631,'26','453911141807056896','02:01:06.18','+00:34:00.23',17.5,0.298481,6.9e-05,0,'GALAXY',''
468,51912,616,'26','527090513271089152','08:57:49.80','+01:35:30.32',26.62,0.281175,6.1e-05,0,'GALAXY',''
507,52353,622,'26','571002266304145408','10:56:06.61','+02:52:13.47',15.32,0.23601,5.7e-05,0,'GALAXY',''
523,52026,371,'26','588947664972834816','12:53:47.01','+03:26:30.36',46.9,0.065647,1.5e-05,0,'GALAXY',''
564,52224,435,'26','635127156661315584','08:42:25.52','+02:52:52.74',16.31,0.425049,9e-05,0,'GALAXY',''
584,52049,390,'26','657632782356342784','14:19:27.49','+04:45:13.78',16.34,0.143449,2.9e-05,0,'GALAXY',''
628,52083,369,'26','707166606391797760','16:37:09.51','+43:26:00.37',15.05,0.343362,9.8e-05,0,'GALAXY',''
688,52203,471,'26','774748640362129408','00:22:00.95','+00:06:57.97',10.29,0.305677,8e-05,0,'GALAXY',''
844,52378,73,'26','950279627358627840','12:19:44.98','+04:46:22.44',14.06,-0.001259,1e-05,0,'STAR','L9'
1105,52937,161,'26','1244163701678827520','22:06:43.29','-00:31:02.56',7.55,2.19631,0.95987,0,'QSO',''
1186,52646,261,'26','1335389077041604608','08:31:48.88','+04:29:39.09',54.34,0.173856,6.6e-05,0,'GALAXY',''
3846,55327,244,'v5_13_0','4330278201299587072','12:18:34.93','-01:19:54.33',61.08,-5.8e-05,0.000185,0,'STAR','CalciumWD'
4199,55481,20,'v5_13_0','4727659298347569152','22:11:08.34','-00:03:02.53',24.23,0.361862,0.00015,0,'GALAXY',''
4205,55454,194,'v5_13_0','4734462526091448320','22:47:30.19','+00:00:06.41',14.21,1.9044,4.7e-05,0,'QSO',''
4318,55508,464,'v5_13_0','4861763433505509376','22:08:12.70','+03:53:04.61',15.06,1.21538,0.437695,0,'QSO',''
4756,55631,634,'v5_13_0','5354954324010356736','12:45:33.79','+02:28:25.27',20.04,3.82524,0.000748,0,'QSO',''
4781,55653,654,'v5_13_0','5383107319608659968','14:24:09.50','+04:34:52.09',39.64,1.35975,0.000208,0,'QSO',''
6048,56072,506,'v5_13_0','6809581826677690368','15:06:17.64','+43:34:13.65',14.07,0.470141,0.000348,0,'GALAXY',''
6060,56074,722,'v5_13_0','6823151999221256192','14:28:32.61','+42:40:21.07',42.27,0.129252,3.5e-05,0,'GALAXY',''
7852,56987,86,'v5_13_0','8840589825252020224','00:06:26.93','+01:36:10.37',10.01,1.11907,0.272326,0,'QSO',''
8512,57903,314,'v5_13_0','-8862997622410686464','15:39:25.67','+42:17:28.29',20.0,1.38646,3.75666,0,'QSO',''
9168,58067,103,'v5_13_0','-8124465280008826880','22:23:29.57','+01:02:26.67',22.42,1.24,1.9e-05,0,'QSO',''
